,Ｎo．,番号,タイトル,相手先会社名,相手先所属,相手先担当者,送信元会社名,送信元担当者,送信元電話,送信元FAX,合計枚数,検討,電話待,FAX待,予備,予備メモ,メモ,年号,年,月,日,相手先ＦＡＸ番号,ＭＩＣ,役職,作業者名１,作業者名２,作業者名３,作業者名４,作業者名５,作業者名６,作業者名７,作業者名８,作業者名９,作業者名１０,作業者名１１,作業者名１２,作業者名１３,作業車１,作業車２,作業車３,住所１,住所２,郵便番号
108,2771,,上野動物園　御見積書,パナソニック（株）エコソリューションズ社,東京中央電材営業所,,,手塚,,,2,,,,,,弊社、石塚より話を受け、上野動物園の御見積書を作成しました。,平成,27,2,5,03-6218-1401,,永戸,,,,,,,,,,,,,,,,,,,
109,2775,,社屋移転のお知らせ,パナソニック㈱エコソリューションズ社,東部経理ｾﾝﾀｰ　電材ｸﾞﾙｰﾌﾟ,小川,,茂木,,,1,,,,,,お世話になっております。,平成,27,2,16,03-6218-1141,,,,,,,,,,,,,,,,,,,東京都港区東新橋１丁目５番１号,,105-8301
110,2776,,2月末〆合計明細書,パナソニック㈱エコソリューションズ社,東部経理ｾﾝﾀｰ　電材ｸﾞﾙｰﾌﾟ,小川,,茂木,,,6,,,,,,いつもお世話になります。,平成,27,2,27,03-6218-1141,,,,,,,,,,,,,,,,,,,東京都港区東新橋１丁目５番１号,,105-8301
111,2779,,上野動物園　御見積書,パナソニック（株）エコソリューションズ社,東京中央電材営業所,,,手塚,,,2,,,,,,御見積内容を変更サせて頂きましたので、御確認よろしくお願い致します。,平成,27,3,4,03-6218-1401,,永戸,,,,,,,,,,,,,,,,,,,
112,2780,,御札,,王子神社,湯浅,,石塚,,,1,,,,,,神棚の御札（王子神社）を受けたく、本日　お伺いしたのですが、ご不在だったため、千葉神社庁より連絡先をお聞きしてFAXさせて頂きました。,平成,27,3,6,047-344-5683,,,,,,,,,,,,,,,,,,,,,
113,2781,,住所変更の件,中立電機㈱,栃木流通センター,上吉原,,牧内,,,1,,,,,,,平成,27,3,9,0288-21-7607,,,,,,,,,,,,,,,,,,,栃木県日光市町谷１９３０,,321-2403
114,2782,,送り状,㈱ユアテック,設備技術部　施工センター　大手町工事チーム,櫻井,,髙尾,,,2,,,,,,いつもお世話になっております。,平成,27,3,10,03-3243-7127,,,,,,,,,,,,,,,,,,,,,
115,2783,,盤改造作業内容,(株)九電工,,沖崎,,浮ヶ谷,,,2,,,,,,いつもお世話になっています。,平成,27,3,11,03-6455-4513,,,,,,,,,,,,,,,,,,,,,
116,2784,,フル２線式リモコンシステム　現場調整,星電気商会,,星,,石塚,,,1,■,,,,,◎お世話になっております。,平成,25,3,11,045-574-2042,,社長,,,,,,,,,,,,,,,,,,,
117,2785,,納期確認,田中商事(株),首都圏第二営業部　松戸営業所,熊谷,,茂木,,,1,,,,,,お世話になっております。,平成,27,3,17,047-309-0710,,所長,,,,,,,,,,,,,,,,,千葉県松戸市千駄堀1802-1,,270-2252
118,2786,,上野動物園　御見積書,パナソニック（株）エコソリューションズ社,東京中央電材営業所,,,手塚,,,2,,,,,,御見積内容を変更させて頂きましたので、御確認よろしくお願い致します。,平成,27,3,18,03-6218-1401,,永戸,,,,,,,,,,,,,,,,,,,
119,2788,,3月末〆合計明細書,パナソニック㈱エコソリューションズ社,東部経理ｾﾝﾀｰ　電材ｸﾞﾙｰﾌﾟ,小川,,髙尾,,,4,,,,,,いつもお世話になります。,平成,27,3,31,03-6218-1141,,,,,,,,,,,,,,,,,,,東京都港区東新橋１丁目５番１号,,105-8301
120,2789,,3月分合計請求明細書（差替え分）,ミツワ電機 株式会社,業務管理部　会計ｸﾞﾙｰﾌﾟ,経理ご担当者,,茂木,,,2,,,,,,お世話になっております。,平成,27,4,2,03-3862-1186,,,,,,,,,,,,,,,,,,,東京都中央区東日本橋2-26-3　本館2F,,103-0004
121,2790,,NDDN-W57用　地図ﾃﾞｨｽｸ,東京ﾄﾖﾍﾟｯﾄ㈱,,,,石塚,,,1,■,■,,,,お世話になります。,平成,27,4,17,03-3609-2815,,,,,,,,,,,,,,,,,,,,,
122,2791,,4月分　合計請求明細書,杉本電機産業(株),川崎営業所,経理ご担当者,,茂木,,,2,,,,,,いつもお世話になっております。,平成,27,4,21,044-211-4732,,,,,,,,,,,,,,,,,,,神奈川県川崎市川崎区渡田向町6-5,,210-0841
123,2792,,4月分　合計請求明細書,海光電業　株式会社,,経理ご担当者,,茂木,,,2,,,,,,いつもお世話になっております。,平成,27,4,21,03-6417-4582,,,,,,,,,,,,,,,,,,,東京都品川区西五反田7-22-17,TOCﾋﾞﾙ6階,141-0031
124,2793,,金町浄水場,金町swing管理事務所,,高松,,花田,,,2,,,,,,金町浄水場のリモコンSW設定資料（手書き）をお送りします。,平成,27,4,23,,,,,,,,,,,,,,,,,,,,,,
125,2795,,4月末〆合計明細書,パナソニック㈱エコソリューションズ社,東部経理ｾﾝﾀｰ　電材ｸﾞﾙｰﾌﾟ,小川,,茂木,,,3,,,,,,いつもお世話になります。,平成,27,4,30,03-6218-1141,,,,,,,,,,,,,,,,,,,東京都港区東新橋１丁目５番１号,,105-8301
126,2796,,大手町フィナンシャルシティー盤改造,(株)関電工,,千葉,,佐野,,,1,,,,,,お世話になっております。零電社の佐野です。,平成,27,5,4,03-3270-7900,,,,,,,,,,,,,,,,,,,,,
127,2798,,（有）零電社　安全大会出席者,パナソニックESエンジニアリング(株),東京本部　業務部,浅井,,牧内,,,2,,,,,,お世話になっております。,平成,27,5,18,03-5564-7077,,部長,,,,,,,,,,,,,,,,,東京都江東区青海1-1-20,ﾀﾞｲﾊﾞｰｼﾃｨ東京ｵﾌｨｽﾀﾜｰ13階,135-0064
128,2799,,5月末〆合計明細書,パナソニック㈱エコソリューションズ社,東部経理ｾﾝﾀｰ　電材ｸﾞﾙｰﾌﾟ,小川,,茂木,,,3,,,,,,いつもお世話になります。,平成,27,5,29,03-6218-1141,,,,,,,,,,,,,,,,,,,東京都港区東新橋１丁目５番１号,,105-8301
129,2801,,能美防災　千葉支社,関東電気保安協会,千葉事業所　電気保安３課,岩瀬,,山下,,,5,,,,,,いつもお世話になっております。,平成,27,5,29,043-424-8994,,,,,,,,,,,,,,,,,,,,,
130,2802,,案件登録シートの件,田中商事(株),首都圏第二営業部,熊谷,,坂本,,,1,■,■,■,■,,いつもお世話になっております。,平成,27,6,3,047-309-0710,,所長,,,,,,,,,,,,,,,,,千葉県松戸市千駄堀1802-1,,270-2252
131,2803,,,パナソニックエコソリューションズ電路㈱,電設盤特機受注センター,ご担当者,,茂木,,,6,,,,,,お世話になっております。,平成,27,6,12,0561-54-7620,,,,,,,,,,,,,,,,,,,愛知県尾張旭市三郷町角田１１２３,,488-0012
132,2804,,電気工事業に係る変更届出書,電気工事工業松戸支部　,,高階,,牧内,,,2,,,,,,お世話になっております。,平成,27,6,15,047-345-5332,,,,,,,,,,,,,,,,,,,東京都江東区青海1-1-20,ﾀﾞｲﾊﾞｰｼﾃｨ東京ｵﾌｨｽﾀﾜｰ13階,135-0064
133,2805,,宅急便送付状,株式会社 ユアテック,,櫻井,,牧内,,,2,,,,,,お世話になっております。,平成,27,6,17,03-3243-7127,,,,,,,,,,,,,,,,,,,東京都江東区青海1-1-20,ﾀﾞｲﾊﾞｰｼﾃｨ東京ｵﾌｨｽﾀﾜｰ13階,135-0064
134,2806,,宅急便送付状,株式会社 ユアテック,,櫻井,,坂本,,,2,,,,,,お世話になっております。,平成,27,6,18,03-3243-7127,,,,,,,,,,,,,,,,,,,東京都江東区青海1-1-20,ﾀﾞｲﾊﾞｰｼﾃｨ東京ｵﾌｨｽﾀﾜｰ13階,135-0064
135,2807,,免許申請・意思確認書,㈱サンテレコムジャパン　,,宮崎,,牧内,,,2,,,,,,お世話になっております。,平成,27,6,25,03-3454-1173,,,,,,,,,,,,,,,,,,,東京都江東区青海1-1-20,ﾀﾞｲﾊﾞｰｼﾃｨ東京ｵﾌｨｽﾀﾜｰ13階,135-0064
136,2808,,6月末〆合計明細書,パナソニック㈱エコソリューションズ社,東部経理ｾﾝﾀｰ　電材ｸﾞﾙｰﾌﾟ,小川,,茂木,,,3,,,,,,いつもお世話になります。,平成,27,6,30,03-6218-1141,,,,,,,,,,,,,,,,,,,東京都港区東新橋１丁目５番１号,,105-8301
137,2809,,名称板製作,梅崎機械彫刻所,,梅崎,,木村,,,2,,,,,,毎度お世話になっております。,平成,27,7,23,047-387-8575,,社長,,,,,,,,,,,,,,,,,千葉県松戸市高柳新田１１１－４,,270-2201
138,2810,,企業財産保険契約内容変更確認書・承認書,㈱キキ・コンサルティング,,内田,,牧内,,,2,,,,,,お世話になっております。,平成,27,7,27,03-5357-7842,,,,,,,,,,,,,,,,,,,東京都新宿区新宿2-5-1,アルテビル新宿８階,160-0022
139,2812,,7月末〆合計明細書,パナソニック㈱エコソリューションズ社,東部経理ｾﾝﾀｰ　電材ｸﾞﾙｰﾌﾟ,小川,,茂木,,,3,,,,,,いつもお世話になります。,平成,27,7,31,03-6218-1141,,,,,,,,,,,,,,,,,,,東京都港区東新橋１丁目５番１号,,105-8301
140,2813,,制作依頼,ソウブ電商（株）,,三島,,松藤,,,2,,,,,,お世話になっております。,平成,27,8,4,0489-56-3803,,,,,,,,,,,,,,,,,,,埼玉県三郷市戸ケ崎２－７８４,,341-0044
141,2814,,送り状,株式会社きんでん,東京支社　第二工事部　工事第一課,坂巻,,茂木,,,2,,,,,,お世話になっております。,平成,27,8,7,03-5475-8027,,,,,,,,,,,,,,,,,,,,,
142,2815,,送り状,パナソニック(株)エコソリューションズ社,東京電設営業所　電設盤営業課,柳田,,茂木,,,2,,,,,,お世話になっております。,平成,27,8,7,03-6218-1571,,課長,,,,,,,,,,,,,,,,,東京都港区東新橋１丁目５番１号,,105-8301
143,2816,,制作依頼,ソウブ電商（株）,,三島,,花田,,,2,,,,,,お世話になっております。,平成,27,8,8,0489-56-3803,,,,,,,,,,,,,,,,,,,埼玉県三郷市戸ケ崎２－７８４,,341-0044
144,2817,,制作依頼,ソウブ電商（株）,,三島,,勅使河原,,,2,,,,,,お世話になっております。,平成,27,8,17,0489-56-3803,,,,,,,,,,,,,,,,,,,埼玉県三郷市戸ケ崎２－７８４,,341-0044
145,2818,,制作依頼,ソウブ電商（株）,,三島,,勅使河原,,,2,,,,,,お世話になっております。,平成,27,8,17,0489-56-3803,,,,,,,,,,,,,,,,,,,埼玉県三郷市戸ケ崎２－７８４,,341-0044
146,2819,,お振込み先,光商工㈱,経理,川俣,,茂木,,,1,,,,,,お世話になっております。,平成,27,8,17,03-3574-0647,,,,,,,,,,,,,,,,,,,,,
147,2820,,御見積もり依頼,タカノスマイル株式会社,,石井様,,山下,,,1,,,□,,,いつもお世話になっております。,平成,27,8,19,047-364-2132,,,,,,,,,,,,,,,,,,,,,
148,2821,,御見積もり依頼,扇港電機株式会社,,平田課長,,山下,,,1,,,□,,,いつもお世話になっております。,平成,27,8,19,043-257-4530,,,,,,,,,,,,,,,,,,,,,
149,2822,,御見積もり依頼,田中商事株式会社,,熊谷所長,,山下,,,1,,,□,,,いつもお世話になっております。,平成,27,8,19,047-309-0710,,,,,,,,,,,,,,,,,,,,,
150,2823,,ＵＳＳ東京フル2線制御システム落雷対策工事,パナソニック（株）エコソリューションズ社,中央電材営業所,水野,,勅使河原,,,2,■,,,,,いつもお世話になっております。,平成,27,8,21,03-6218-1401,,,,,,,,,,,,,,,,,,,千葉県千葉市美浜区中瀬２－６,ＷＢＧマリブウエスト　３３階,261-7133
151,2824,,神保町三井ビル,ニシムラ(株),東京営業所,瀬戸井,,茂木,,,1,,,,,,お世話になっております。,平成,27,8,21,03-5714-0822,,,,,,,,,,,,,,,,,,,,,
152,2825,,8月末〆合計明細書,パナソニック㈱エコソリューションズ社,東部経理ｾﾝﾀｰ　電材ｸﾞﾙｰﾌﾟ,小川,,茂木,,,6,,,,,,いつもお世話になります。,平成,27,8,31,03-6218-1141,,,,,,,,,,,,,,,,,,,東京都港区東新橋１丁目５番１号,,105-8301
153,2827,,注文依頼,ダイハツ　松戸南店,,中山,,牧内,,,2,,,,,,お世話になっております。,平成,27,9,2,047-361-0635,,,,,,,,,,,,,,,,,,,埼玉県三郷市戸ケ崎２－７８４,,341-0044
154,2828,,（仮称）東上野二丁目計画,㈱きんでん,,富永,,木村,,,,,,,,,いつもお世話になっております。,平成,27,9,9,03-3837-2805,,,,,,,,,,,,,,,,,,,,,
155,2829,,9月末〆合計明細書,パナソニック㈱エコソリューションズ社,東部経理ｾﾝﾀｰ　電材ｸﾞﾙｰﾌﾟ,小川,,茂木,,,3,,,,,,いつもお世話になります。,平成,27,9,30,03-6218-1141,,,,,,,,,,,,,,,,,,,東京都港区東新橋１丁目５番１号,,105-8301
156,2830,,11月度　総括請求書,パナソニックＥＳエンジニアリング㈱,経営管理部,大江,,茂木,,,2,,,,,,お世話になっております。,平成,28,12,1,03-5564-7076,,,,,,,,,,,,,,,,,,,東京都江東区青海1-1-20,ﾀﾞｲﾊﾞｰｼﾃｨ東京ｵﾌｨｽﾀﾜｰ13階,135-0064
157,2831,,（仮称）新鉄鋼ビル建替計画　新規入場申請,㈱関電工,東京営業本部　東京総支社　中央支社,刀川,,木村,,,2,,,,,,いつもお世話になっております。,平成,27,10,11,03-5220-5171,,,,,,,,,,,,,,,,,,,,,
158,2832,,振込先銀行,ヤマト電機(株),,赤池,,茂木,,,1,,,,,,いつもお世話になっております。,平成,27,10,14,03-3970-6430,,,,,,,,,,,,,,,,,,,,,
159,2833,,名称板製作,梅崎機械彫刻所,,梅崎,,木村,,,2,,,,,,毎度お世話になっております。,平成,27,10,28,047-387-8575,,社長,,,,,,,,,,,,,,,,,千葉県松戸市高柳新田１１１－４,,270-2201
160,2834,,納品書　4件分,パナソニックＥＳエンジニアリング㈱　東京本部,ﾋﾞﾙｼｽﾃﾑ事業統括部　ｶｽﾀﾏｰｻｰﾋﾞｽ部　ｻｰﾋﾞｽ1課,岩本,,茂木,,,5,,,,,,お世話になっております。,平成,27,10,29,03-5564-6217,,,,,,,,,,,,,,,,,,,東京都江東区青海1-1-20,ﾀﾞｲﾊﾞｰｼﾃｨ東京ｵﾌｨｽﾀﾜｰ13階,135-0064
161,2835,,10月末〆合計明細書,パナソニック㈱エコソリューションズ社,東部経理ｾﾝﾀｰ　電材ｸﾞﾙｰﾌﾟ,小川,,茂木,,,4,,,,,,いつもお世話になります。,平成,27,10,30,03-6218-1141,,,,,,,,,,,,,,,,,,,東京都港区東新橋１丁目５番１号,,105-8301
162,2837,,10月末〆合計明細書,新和照明株式会社　首都圏支店,東京電設営業所,勝又,,牧内,,,2,,,,,,いつもお世話になります。,平成,27,11,2,03-3845-7101,,,,,,,,,,,,,,,,,,,東京都台東区東上野6-7-13,,110-0015
163,2838,,住友ケミカル　,㈱カタヤマ,,河本,,茂木,,,2,,,,,,お世話になっております。,平成,27,11,10,03-3643-6869,,部長,,,,,,,,,,,,,,,,,,,
164,2840,,11月末〆合計明細書,パナソニック㈱エコソリューションズ社,東部経理ｾﾝﾀｰ　電材ｸﾞﾙｰﾌﾟ,小川,,茂木,,,4,,,,,,いつもお世話になります。,平成,27,11,30,03-6218-1141,,,,,,,,,,,,,,,,,,,東京都港区東新橋１丁目５番１号,,105-8301
165,2842,,木ネジ価格確認,有限会社サトーファスナー,,佐藤,,茂木,,,3,,,,,,お世話になっております。,平成,27,12,1,047-364-7479,,,,,,,,,,,,,,,,,,,千葉県松戸市栄町西3-1109-2,,271-0061
166,2843,,住所変更依頼,有限会社サトーファスナー,,佐藤,,茂木,,,1,,,,,,お世話になっております。,平成,27,12,1,047-364-7479,,,,,,,,,,,,,,,,,,,千葉県松戸市栄町西3-1109-2,,271-0061
167,2844,,晴海トリトンスクエアＺ棟17Ｆ・23Ｆ,パナソニックエコソリューションズ電路㈱盤生産管理部　標準生産管理課,,柴田,,坂本,,,5,,,,,,お世話になっております。,平成,27,12,1,0561-54-7620,,,,,,,,,,,,,,,,,,,千葉県松戸市栄町西3-1109-2,,271-0061
168,2845,,名称板製作,梅崎機械彫刻所,,梅崎,,木村,,,1,,,,,,毎度お世話になっております。,平成,27,12,6,047-387-8575,,社長,,,,,,,,,,,,,,,,,千葉県松戸市高柳新田１１１－４,,270-2201
169,2846,,淑徳大学看護栄養学部増築工事,パナソニック（株）エコソリューションズ社,千葉電材営業所,上田,,松藤,,,2,,,,,,御世話になっております。,平成,27,12,18,043-297-6101,,,,,,,,,,,,,,,,,,,千葉県千葉市美浜区中瀬２－６,ＷＢＧマリブウエスト　３３階,261-7133
170,2847,,,パナソニックESエンジニアリング㈱,人事部,岩本,,牧内,,,2,,,,,,お世話になっております。,平成,27,12,21,06-6910-0130,,,,,,,,,,,,,,,,,,,大阪府大阪市中央区城見２－１－６１,ＯＢＰパナソニックタワー１０Ｆ,540-0001
171,2848,,シモジマ本社,ミツワ電機株式会社,市販営業本部　東京第一営業所,岩山,,花田,,,1,,,,,,いつもお世話になっております。,平成,27,12,22,03-6852-8207,,,,,,,,,,,,,,,,,,,東京都中央区東日本橋2丁目26-3　,ﾐﾂﾜ電機㈱本館　8階,103-0004
172,2850,,制作依頼,ソウブ電商（株）,,三島,,松藤,,,2,,,,,,お世話になっております。,平成,28,1,6,0489-56-3803,,,,,,,,,,,,,,,,,,,埼玉県三郷市戸ケ崎２－７８４,,341-0044
173,2851,,制作依頼,ソウブ電商（株）,,三島,,花田,,,2,,,,,,お世話になっております。,平成,28,1,6,0489-56-3803,,,,,,,,,,,,,,,,,,,埼玉県三郷市戸ケ崎２－７８４,,341-0044
174,2852,,小野学園　照明制御調査,中央電気工事（株）,,塩谷,,花田,,,1,,,,,,下記のメールに送って頂けると助かります。,平成,28,1,6,03-3350-0430,,,,,,,,,,,,,,,,,,,埼玉県三郷市戸ケ崎２－７８４,,341-0044
175,2853,,野田物流センター　フル２線調整工事,(株)きんでん,,加藤,,松藤,,,1,,,,,,御世話になります。,平成,28,1,12,04-7197-7762,,,,,,,,,,,,,,,,,,,,,
176,2854,,ＴＤＳホテルミラコスタ　盤面操作表示ユニット交換,東幸電機㈱,,原,,坂本,,,3,,,,,,いつもお世話になります。,平成,28,1,20,03-3433-2284,,,,,,,,,,,,,,,,,,,,,
177,2855,,新鉄鋼ビル（ＪＲ東日本パーソン）030-TDL012　盤改造工事,パナソニックESエンジニアリング（株）,東京本部　ビルシステム事業統括部,和田,,坂本,,,2,,,,,,いつもお世話になります。,平成,28,1,21,03-5564-6216,,,,,,,,,,,,,,,,,,,東京都江東区青海1-1-20,ﾀﾞｲﾊﾞｰｼﾃｨ東京ｵﾌｨｽﾀﾜｰ13Ｆ,135-0064
178,2856,,名称板製作,梅崎機械彫刻所,,梅崎,,木村,,,3,,,,,,毎度お世話になっております。,平成,28,1,22,047-387-8575,,社長,,,,,,,,,,,,,,,,,千葉県松戸市高柳新田１１１－４,,270-2201
179,2857,,3月分出向費書類の件,パナソニックESエンジニアリング㈱,人事部,岩本,,茂木,,,2,,,,,　,お世話になっております。,平成,28,3,24,06-6910-0130,,,,,,,,,,,,,,,,,,,大阪府大阪市中央区城見２－１－６１,ＯＢＰパナソニックタワー１０Ｆ,540-0001
180,2858,,1月末〆合計明細書,パナソニック㈱エコソリューションズ社,東部経理ｾﾝﾀｰ　電材ｸﾞﾙｰﾌﾟ,小川,,茂木,,,5,,,,,,いつもお世話になります。,平成,28,1,29,03-6218-1141,,,,,,,,,,,,,,,,,,,東京都港区東新橋１丁目５番１号,,105-8301
181,2860,,フル２線設定の件,株式会社　タカノスマイル,江東営業所,伊藤,,松藤,,,1,,,,,,御世話になります。,平成,28,1,29,03-5600-1177,,,,,,,,,,,,,,,,,,,東京都江東区新大橋2-16-6,ﾀｶﾉｽﾏｲﾙ新大橋ﾋﾞﾙ内,135-0007
182,2861,,ナミデン(株)入金額の件,株式会社　綜合税経ｾﾝﾀｰ,税理士法人　あさひ会計,田中,,茂木,,,2,,,,,,お世話になっております。,平成,28,2,2,04-7166-4154,,,,,,,,,,,,,,,,,,,千葉県柏市柏4-5-10,ｻﾝﾌﾟﾗｻﾞﾋﾞﾙ2F,277-0005
183,2863,,請求書の件,パナソニックエコソリューションズ電路㈱盤生産管理課,,小池,,坂本,,,2,,,,,,いつもお世話になっております。,平成,28,2,3,0561-54-7620,,,,,,,,,,,,,,,,,,,,,
184,2864,,JCB・ETC明細,株式会社　綜合税経ｾﾝﾀｰ,税理士法人　あさひ会計,田中,,茂木,,,9,,,,,,お世話になっております。,平成,28,2,5,04-7166-4154,,,,,,,,,,,,,,,,,,,千葉県柏市柏4-5-10,ｻﾝﾌﾟﾗｻﾞﾋﾞﾙ2F,277-0005
185,2865,,相模大野駅の件,松尾商行,,長峰,,勅使河原,,,2,,,,,,相模大野駅のお見積り書をお送りいたします。,平成,28,2,8,0427571211,,,,,,,,,,,,,,,,,,,,,
186,2866,,部材の件,パナソニックエコソリューションズ電路㈱,盤生産管理部　標準生産管理課,柴田,,坂本,,,3,,,,,,いつもお世話になっております。,平成,28,2,9,0561-54-7620,,,,,,,,,,,,,,,,,,,愛知県尾張旭市三郷町角田１１２３,,488-0012
187,2867,,アクロス新川システム修繕の件,ミツワ電機株式会社,開発営業部,熊倉,,勅使河原,,,2,,,,,,毎度お世話になります。,平成,28,2,10,03-6861-3588,,,,,,,,,,,,,,,,,,,,,
188,2868,,部材の件,パナソニックエコソリューションズ電路㈱,盤生産管理部　標準生産管理課,杉原,,坂本,,,2,,,,,,いつもお世話になっております。,平成,28,2,16,0561-54-7620,,,,,,,,,,,,,,,,,,,東京都千代田区岩本町3-5-5,,
189,2869,,部材の件,パナソニックエコソリューションズ電路㈱,盤生産管理部　標準生産管理課,柴田,,坂本,,,3,,,,,,いつもお世話になっております。,平成,28,2,17,0561-54-7620,,,,,,,,,,,,,,,,,,,東京都千代田区岩本町3-5-5,,
190,2870,,御見積もり依頼,スズデン株式会社,コンポーネンツ東京営業所,平野,,山下,,,1,,,□,,,いつもお世話になっております。,平成,28,2,18,03-3635-8264,,,,,,,,,,,,,,,,,,,,,
191,2871,,部材の件,パナソニックエコソリューションズ電路㈱,盤生産管理部　標準生産管理課,柴田,,坂本,,,3,,,□,,,いつもお世話になっております。,平成,28,2,22,0561-54-7620,,,,,,,,,,,,,,,,,,,愛知県尾張旭市三郷町角田１１２３,,488-0012
192,2872,,件名「YAMATOMURA(ﾔﾏﾄﾑﾗ)新築工事」　御見積書,株式会社　タカノスマイル,江東営業所,伊藤　様,,松藤,,,2,,,,,,御世話になっております。,平成,28,2,24,03-5600-1177,,,,,,,,,,,,,,,,,,,,,
193,2873,,2月末〆合計明細書,パナソニック㈱エコソリューションズ社,東部経理ｾﾝﾀｰ　電材ｸﾞﾙｰﾌﾟ,小川,,茂木,,,3,,,,,,いつもお世話になります。,平成,28,2,29,03-6218-1141,,,,,,,,,,,,,,,,,,,東京都港区東新橋１丁目５番１号,,105-8301
194,2874,,寺尾地区センター,（株）松尾商行,新横浜事業所,中村,,壁谷,,,2,,,,,,お世話になっております。零電社　壁谷です。,平成,28,3,1,045-546-4371,,,,,,,,,,,,,,,,,,,,,
195,2875,,ＴＮ　スクエアビル,小島電機工業㈱,旭営業所,小幡,,山下,,,2,■,,,,,お世話になっております。零電社　山下です。,平成,28,3,1,045-952-5764,,,,,,,,,,,,,,,,,,,,,
196,2876,,白金の丘学園　リモコン設定,神田電業株式会社,営業部,鵜飼,,壁谷,,,8,,,,,,お世話になっております。零電社　壁谷です。,平成,28,3,1,03-3256-2966,,,,,,,,,,,,,,,,,,,,,
197,2877,,Ｍ2ＬＭ-Ｋ5　積算電力計の件,パナソニックエコソリューションズ電路㈱,電設盤特機受注センター,柴田,,坂本,,,2,,,,,,お世話になっております。,平成,28,3,2,0561-54-7620,,,,,,,,,,,,,,,,,,,愛知県尾張旭市三郷町角田１１２３,,488-0012
198,2878,,Ｍ2ＬＭ-Ｋ5　積算電力計の件,パナソニックエコソリューションズ電路㈱,電設盤特機受注センター,柴田,,坂本,,,2,,,,,,お世話になっております。,平成,28,3,2,0561-54-7620,,,,,,,,,,,,,,,,,,,愛知県尾張旭市三郷町角田１１２３,,488-0012
199,2879,,御見積もり依頼,田中商事株式会社,,熊谷所長,,山下,,,1,,,□,,,いつもお世話になっております。,平成,28,3,18,047-309-0710,,,,,,,,,,,,,,,,,,,,,
200,2880,,御見積もり依頼,扇港電機株式会社,,平田課長,,山下,,,1,,,□,,,いつもお世話になっております。,平成,28,3,18,043-257-4530,,,,,,,,,,,,,,,,,,,,,
201,2881,,部材の件,パナソニックエコソリューションズ電路㈱,電設盤特機受注センター,柴田,,坂本,,,3,,,□,,,いつもお世話になっております。,平成,28,3,18,0561-54-7620,,,,,,,,,,,,,,,,,,,愛知県尾張旭市三郷町角田１１２３,,488-0012
202,2882,,振込先銀行口座,東和電材(株),,ナカイチ,,茂木,,,2,,,,,,お世話になっております。,平成,28,3,29,017-739-9149,,,,,,,,,,,,,,,,,,,,,
203,2883,,振込先銀行口座,杉本電機産業(株),港北営業所,飯島,,茂木,,,1,,,,,,お世話になっております。,平成,28,3,30,045-929-5312,,所長,,,,,,,,,,,,,,,,,神奈川県横浜市都筑区池辺町3900,,224-0053
204,2884,,3月末〆合計明細書,パナソニック㈱エコソリューションズ社,東部経理ｾﾝﾀｰ　電材ｸﾞﾙｰﾌﾟ,小川,,茂木,,,2,,,,,,いつもお世話になります。,平成,28,3,31,03-6218-1141,,,,,,,,,,,,,,,,,,,東京都港区東新橋１丁目５番１号,,105-8301
205,2886,,入荷部材確認,パナソニックエコソリューションズ電路㈱,盤生産管理部　生産管理課,松原,,茂木,,,2,,,,,,お世話になっております。,平成,28,3,31,0561-54-7620,,（武）,,,,,,,,,,,,,,,,,愛知県尾張旭市三郷町角田１１２３番地,,488-8520
206,2888,,件名「YAMATOMURA(ﾔﾏﾄﾑﾗ)新築工事」　御見積書,株式会社　タカノスマイル,江東営業所,伊藤　様,,松藤,,,1,,,,,,御世話になっております。,平成,28,4,1,03-5600-1177,,,,,,,,,,,,,,,,,,,,,
207,2889,,件名「白鳥三笠ビル」,海光電業(株),第四営業部二課,大村,,松藤,,,1,,,,,,いつも御世話になっております。,平成,28,4,5,03-6417-4582,,,,,,,,,,,,,,,,,,,東京都品川区西五反田7-22-17,TOCビル6階,141-0031
208,2890,,マルチＮ基盤の件,パナソニックＥＳ電路㈱,盤生産管理部　生産管理課,山口,,木村,,,3,,,□,,,いつもお世話になっております。,平成,28,4,5,0561-54-7620,,,,,,,,,,,,,,,,,,,愛知県尾張旭市三郷町角田1123,,488-0012
209,2891,,文京区立真砂中央図書館改修電気設備工事,田中商事株式会社,王子営業所,斉藤,,山下,,,2,■,,,,,お世話になっております。零電社　山下です。,平成,28,4,25,03-5959-3245,,,,,,,,,,,,,,,,,,,,,
210,2892,,4月末〆合計明細書,パナソニック㈱エコソリューションズ社,東部経理ｾﾝﾀｰ　電材ｸﾞﾙｰﾌﾟ,小川,,茂木,,,2,,,,,,いつもお世話になります。,平成,28,4,28,03-6218-1141,,,,,,,,,,,,,,,,,,,東京都港区東新橋１丁目５番１号,,105-8301
211,2893,,実務経験証明書,千葉県電気工事工業組合,,ご担当者,,壁谷,,,2,,,,,,お世話になります。,平成,28,5,27,043-224-6087,,,,,,,,,,,,,,,,,,,東京都港区東新橋１丁目５番１号,,105-8301
212,2894,,5月末〆合計明細書,パナソニック㈱エコソリューションズ社,東部経理ｾﾝﾀｰ　電材ｸﾞﾙｰﾌﾟ,小川,,茂木,,,3,,,,,,いつもお世話になります。,平成,28,5,31,03-6218-1141,,,,,,,,,,,,,,,,,,,東京都港区東新橋１丁目５番１号,,105-8301
